tract,Name,Incarceration_Rate_rP_gP_pall
9009140200,"The Hill, New Haven, CT",0.1054
9009141600,"Dixwell, New Haven, CT",0.0805
9009142300,"Fair Haven, New Haven, CT",0.0781
9009361401,"Downtown, New Haven, CT",0.0778
9009142100,"Mill River, New Haven, CT",0.0691
9009142500,"Fair Haven, New Haven, CT",0.0621
9009141500,"Newhallville, New Haven, CT",0.0616
9009142603,"Fair Haven Heights, New Haven, CT",0.061
9009140400,"City Point, New Haven, CT",0.0558
9009141300,"West New Haven, New Haven, CT",0.0541
9009140700,"Dwight, New Haven, CT",0.0488
9009141400,"Beaver Hills, New Haven, CT",0.0484
9009140800,"West River, New Haven, CT",0.0472
9009140600,"The Hill, New Haven, CT",0.0459
9009140900,"Edgewood, New Haven, CT",0.0435
9009142400,"Fair Haven, New Haven, CT",0.0407
9009141800,"Prospect Hill, New Haven, CT",0.0402
9009154200,"West Haven, CT",0.0397
9009140500,"The Hill, New Haven, CT",0.0383
9009141200,"Amity, New Haven, CT",0.0363
9009142700,"Annex, New Haven, CT",0.0357
9009140100,"Downtown, New Haven, CT",0.0344
9009140300,"The Hill, New Haven, CT",0.0335
9009361500,"West Haven, CT",0.0324
9009142604,"Fair Haven Heights, New Haven, CT",0.0308
9009154500,"West Haven, CT",0.0224
9009142601,"Quinnipiac Meadows, New Haven, CT",0.0221
9009165400,"Hamden, CT",0.022
9009154100,"West Haven, CT",0.0212
9009154600,"West Haven, CT",0.0195
9009142000,"East Rock, New Haven, CT",0.017
9009180500,"Foxon, East Haven, CT",0.0154
9009167201,"North Haven, CT",0.0139
9009180300,"The Centre, East Haven, CT",0.0128
9009180200,"The Centre, East Haven, CT",0.0098
9009141000,"West New Haven, New Haven, CT",0.0087
9009141900,"East Rock, New Haven, CT",0.0078
9009180400,"North End, East Haven, CT",0.0069
9009165200,"Hamden, CT",0.0069
9009142800,"East Shore, New Haven, CT",0.0066
9009165100,"Hamden, CT",0.0056
9009155000,"West Haven, CT",0.0054
9009141100,"West New Haven, New Haven, CT",0.0016
9009142200,"Mill River, New Haven, CT",0.0013
9009361402,"Downtown, New Haven, CT",0
