tract,Name,Fraction_Single_Parents_in_2012-16
9009361402,"Downtown, New Haven, CT",1
9009141600,"Dixwell, New Haven, CT",0.903
9009140200,"The Hill, New Haven, CT",0.8763
9009140400,"City Point, New Haven, CT",0.8106
9009140800,"West River, New Haven, CT",0.7865
9009141300,"West New Haven, New Haven, CT",0.7723
9009140700,"Dwight, New Haven, CT",0.7414
9009141400,"Beaver Hills, New Haven, CT",0.7387
9009142400,"Fair Haven, New Haven, CT",0.7225
9009142100,"Mill River, New Haven, CT",0.6995
9009141500,"Newhallville, New Haven, CT",0.6953
9009142500,"Fair Haven, New Haven, CT",0.6703
9009140600,"The Hill, New Haven, CT",0.6577
9009154200,"West Haven, CT",0.6443
9009140300,"The Hill, New Haven, CT",0.6241
9009140900,"Edgewood, New Haven, CT",0.6117
9009361401,"Downtown, New Haven, CT",0.6
9009141200,"Amity, New Haven, CT",0.581
9009142700,"Annex, New Haven, CT",0.5804
9009154100,"West Haven, CT",0.5592
9009142601,"Quinnipiac Meadows, New Haven, CT",0.5554
9009142300,"Fair Haven, New Haven, CT",0.5462
9009180300,"The Centre, East Haven, CT",0.5291
9009154500,"West Haven, CT",0.5196
9009140100,"Downtown, New Haven, CT",0.4897
9009154600,"West Haven, CT",0.4673
9009180200,"The Centre, East Haven, CT",0.4632
9009140500,"The Hill, New Haven, CT",0.4465
9009142603,"Fair Haven Heights, New Haven, CT",0.4216
9009361500,"West Haven, CT",0.4071
9009142800,"East Shore, New Haven, CT",0.3672
9009165100,"Hamden, CT",0.3625
9009180500,"Foxon, East Haven, CT",0.3567
9009142000,"East Rock, New Haven, CT",0.3091
9009141800,"Prospect Hill, New Haven, CT",0.2986
9009142604,"Fair Haven Heights, New Haven, CT",0.2962
9009141000,"West New Haven, New Haven, CT",0.263
9009167201,"North Haven, CT",0.2024
9009180400,"North End, East Haven, CT",0.2008
9009155000,"West Haven, CT",0.1855
9009165400,"Hamden, CT",0.1813
9009142200,"Mill River, New Haven, CT",0.1772
9009141900,"East Rock, New Haven, CT",0.1137
9009165200,"Hamden, CT",0.0857
9009141100,"West New Haven, New Haven, CT",0.0618
